Date,price,zone
5/23/2024 23:00,25,PGAE
5/23/2024 23:00,22.9436,SCE
5/23/2024 23:00,22.88016,SDGE
5/23/2024 23:00,21.70059,VEA
5/24/2024 0:00,19.882,PGAE
5/24/2024 0:00,19.28352,SCE
5/24/2024 0:00,19.55675,SDGE
5/24/2024 0:00,18.57439,VEA
5/24/2024 1:00,19.37946,PGAE
5/24/2024 1:00,18.88482,SCE
5/24/2024 1:00,19.03911,SDGE
5/24/2024 1:00,18.21516,VEA
5/24/2024 2:00,18.38456,PGAE
5/24/2024 2:00,17.19396,SCE
5/24/2024 2:00,17.2414,SDGE
5/24/2024 2:00,16.47047,VEA
5/24/2024 3:00,17.60433,PGAE
5/24/2024 3:00,16.49325,SCE
5/24/2024 3:00,16.49878,SDGE
5/24/2024 3:00,15.79815,VEA
5/24/2024 4:00,20.07177,PGAE
5/24/2024 4:00,19.14733,SCE
5/24/2024 4:00,19.2405,SDGE
5/24/2024 4:00,18.45825,VEA
5/24/2024 5:00,27.98077,PGAE
5/24/2024 5:00,27.39222,SCE
5/24/2024 5:00,27.60669,SDGE
5/24/2024 5:00,26.48907,VEA
5/24/2024 6:00,23.71909,PGAE
5/24/2024 6:00,23.45255,SCE
5/24/2024 6:00,23.42908,SDGE
5/24/2024 6:00,22.29083,VEA
5/24/2024 7:00,12.26812,PGAE
5/24/2024 7:00,-0.73852,SCE
5/24/2024 7:00,-0.40846,SDGE
5/24/2024 7:00,-2.92462,VEA
5/24/2024 8:00,5.1462,PGAE
5/24/2024 8:00,-5.21798,SCE
5/24/2024 8:00,-4.98107,SDGE
5/24/2024 8:00,-16.44221,VEA
5/24/2024 9:00,5,PGAE
5/24/2024 9:00,-16.62401,SCE
5/24/2024 9:00,-16.13767,SDGE
5/24/2024 9:00,0.39,VEA
5/24/2024 10:00,-1.86178,PGAE
5/24/2024 10:00,-19.56047,SCE
5/24/2024 10:00,-19.15483,SDGE
5/24/2024 10:00,-22.20026,VEA
5/24/2024 11:00,-4.97704,PGAE
5/24/2024 11:00,-22.95656,SCE
5/24/2024 11:00,-22.6,SDGE
5/24/2024 11:00,-23.44091,VEA
5/24/2024 12:00,-10,PGAE
5/24/2024 12:00,-23.82018,SCE
5/24/2024 12:00,-23.63663,SDGE
5/24/2024 12:00,-24.25141,VEA
5/24/2024 13:00,-13.84076,PGAE
5/24/2024 13:00,-24.061,SCE
5/24/2024 13:00,-24.09146,SDGE
5/24/2024 13:00,-24.66401,VEA
5/24/2024 14:00,-15.46637,PGAE
5/24/2024 14:00,-25,SCE
5/24/2024 14:00,-25.12825,SDGE
5/24/2024 14:00,-25.40593,VEA
5/24/2024 15:00,-9.46465,PGAE
5/24/2024 15:00,-23.0216,SCE
5/24/2024 15:00,-22.94755,SDGE
5/24/2024 15:00,-23.59448,VEA
5/24/2024 16:00,-2.98573,PGAE
5/24/2024 16:00,-23.70748,SCE
5/24/2024 16:00,-23.33647,SDGE
5/24/2024 16:00,-24.53209,VEA
5/24/2024 17:00,4.95764,PGAE
5/24/2024 17:00,-11.95614,SCE
5/24/2024 17:00,-11.57713,SDGE
5/24/2024 17:00,-12.28369,VEA
5/24/2024 18:00,17.29749,PGAE
5/24/2024 18:00,9.14628,SCE
5/24/2024 18:00,9.35088,SDGE
5/24/2024 18:00,8.46908,VEA
5/24/2024 19:00,29.50243,PGAE
5/24/2024 19:00,26.00376,SCE
5/24/2024 19:00,26.06731,SDGE
5/24/2024 19:00,24.29712,VEA
5/24/2024 20:00,32.09819,PGAE
5/24/2024 20:00,29.47626,SCE
5/24/2024 20:00,29.75656,SDGE
5/24/2024 20:00,27.71402,VEA
5/24/2024 21:00,28.92327,PGAE
5/24/2024 21:00,26.8527,SCE
5/24/2024 21:00,27.07707,SDGE
5/24/2024 21:00,25.32629,VEA
5/24/2024 22:00,21.69164,PGAE
5/24/2024 22:00,19.58864,SCE
5/24/2024 22:00,19.64576,SDGE
5/24/2024 22:00,18.62604,VEA
5/24/2024 23:00,19.97225,PGAE
5/24/2024 23:00,18.42958,SCE
5/24/2024 23:00,18.51507,SDGE
5/24/2024 23:00,17.53605,VEA
5/25/2024 0:00,22.70652,PGAE
5/25/2024 0:00,21.77822,SCE
5/25/2024 0:00,21.9418,SDGE
5/25/2024 0:00,21.05167,VEA
5/25/2024 1:00,19.64169,PGAE
5/25/2024 1:00,18.95851,SCE
5/25/2024 1:00,19.13306,SDGE
5/25/2024 1:00,18.37479,VEA
5/25/2024 2:00,18.62056,PGAE
5/25/2024 2:00,17.70024,SCE
5/25/2024 2:00,17.84379,SDGE
5/25/2024 2:00,17.03672,VEA
5/25/2024 3:00,18.81378,PGAE
5/25/2024 3:00,17.46959,SCE
