RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,ProbabilityWeight,PointProbability,prefix
0,33,1,2022,1.0,48.6000002453,1.40000032302,-4.24242522128,35.252377317,-9.99999090909e-09,248.659138532,-18826.6929523,18795.6830002,-48.6000002453,-1.40000032302,0.81982273,37.76998,1.0,1.0,1
0,34,1,2022,1.0,48.6000001918,1.40000025336,-4.24242501019,35.7356255559,-9.99999090909e-09,280.152339067,-18826.0842269,18794.5910263,-48.6000001918,-1.40000025336,0.831061061,30.89922,1.0,1.0,1
0,35,1,2022,1.0,48.6000001394,1.40000022005,-4.24242490926,34.4315925799,-9.99999090909e-09,310.341506728,-18830.0507275,18799.8615598,-48.6000001394,-1.40000022005,0.800734713,26.22508,1.0,1.0,1
0,36,1,2022,1.0,48.6000001175,1.40000021014,-4.24242487922,33.0493397652,-9.99999090909e-09,339.148421604,-18841.3456646,18812.5387497,-48.6000001175,-1.40000021014,0.768589299,24.67197,1.0,1.0,1
0,37,1,2022,1.0,48.6000001279,1.4000002133,-4.24242488879,33.6305954971,-9.99999090909e-09,368.536592202,-18871.7197243,18842.3315537,-48.6000001279,-1.4000002133,0.782106874,25.38616,1.0,1.0,1
0,38,1,2022,1.0,48.6000001772,1.47997584494,-4.48477528771,34.6662140447,-9.99999090909e-09,398.718030949,-18849.2695845,18819.0881457,-48.6000001772,-1.47997584494,0.806191026,29.43688,1.0,1.0,1
0,39,1,2022,1.0,48.6000003073,2.95997560896,-8.96962305745,32.933429225,-9.99999090909e-09,422.681837107,-18806.3195635,18782.3557574,-48.6000003073,-2.95997560896,0.765893705,50.86402,1.0,1.0,1
0,40,1,2022,1.0,48.6000003635,4.43997544606,-13.4544710487,24.5781437757,-9.99999090909e-09,433.805509824,-18825.4596036,18814.3359309,-48.6000003635,-4.43997544606,0.571584743,74.19474,1.0,1.0,1
0,41,1,2022,1.0,48.6000003834,5.9199752483,-17.9393189342,0.0,-9.99999090909e-09,415.86619088,-18834.2050675,18852.1443865,-48.6000003834,-5.9199752483,0.0,88.59984,1.0,1.0,1
0,42,1,2022,1.0,48.6000003803,7.39997480731,-22.4241660828,0.0,-9.99999090909e-09,393.442024787,-18832.213317,18854.6374831,-48.6000003803,-7.39997480731,0.0,85.9904,1.0,1.0,1
0,43,1,2022,1.0,48.6000003786,7.39999960255,-22.4242412198,0.0,-9.99999090909e-09,371.017783557,-18832.0126947,18854.436936,-48.6000003786,-7.39999960255,0.0,84.67528,1.0,1.0,1
0,44,1,2022,1.0,48.6000003737,7.39999949477,-22.4242408932,0.0,-9.99999090909e-09,348.593542654,-18832.1604277,18854.5846686,-48.6000003737,-7.39999949477,0.0,80.94031,1.0,1.0,1
0,45,1,2022,1.0,48.6000003638,7.39999909761,-22.4242396897,0.0,-9.99999090909e-09,326.169302954,-18832.1772835,18854.6015232,-48.6000003638,-7.39999909761,0.0,74.39512,1.0,1.0,1
0,46,1,2022,1.0,48.6000003543,7.399997865,-22.4242359546,0.0,-9.99999090909e-09,303.745066989,-18832.1614603,18854.5856962,-48.6000003543,-7.399997865,0.0,69.03863,1.0,1.0,1
0,47,1,2022,1.0,48.6000003493,7.39999490134,-22.4242269738,0.0,-9.99999090909e-09,281.320840006,-18832.2263692,18854.6505961,-48.6000003493,-7.39999490134,0.0,66.49562,1.0,1.0,1
0,48,1,2022,1.0,48.6000003459,5.96647990206,-18.0802421274,0.0,-9.99999090909e-09,263.240597868,-18834.3634696,18852.4437117,-48.6000003459,-5.96647990206,0.0,64.8736,1.0,1.0,1
0,49,1,2022,1.0,48.6000003443,4.49142262169,-13.6103715809,0.0,-9.99999090909e-09,249.630226277,-18836.4923726,18850.1027442,-48.6000003443,-4.49142262169,0.0,64.17055,1.0,1.0,1
0,50,1,2022,1.0,48.6000003435,3.0147926159,-9.1357351997,0.0,-9.99999090909e-09,240.494491068,-18838.7136648,18847.8494,-48.6000003435,-3.0147926159,0.0,63.81596,1.0,1.0,1
0,51,1,2022,1.0,48.6000003423,4.45908579168,-13.5123811869,0.0,-9.99999090909e-09,226.982109871,-18836.3491375,18849.8615187,-48.6000003423,-4.45908579168,0.0,63.26414,1.0,1.0,1
0,52,1,2022,1.0,48.6000003468,5.93736407337,-17.9920123435,0.0,-9.99999090909e-09,208.990097517,-18833.9364804,18851.9284928,-48.6000003468,-5.93736407337,0.0,65.29651,1.0,1.0,1
0,53,1,2022,1.0,48.6000003662,7.39999929245,-22.4242402802,0.0,-9.99999090909e-09,186.565857227,-18831.5268166,18853.9510568,-48.6000003662,-7.39999929245,0.0,75.91069,1.0,1.0,1
0,54,1,2022,1.0,48.6000003955,7.39999982223,-22.4242418855,0.0,-9.99999090909e-09,164.141615331,-18831.205635,18853.6298769,-48.6000003955,-7.39999982223,0.0,100.42028,1.0,1.0,1
0,55,1,2022,1.0,48.6000003915,7.3999990853,-22.4242396524,0.0,-9.99999090909e-09,141.717375669,-18830.1361917,18852.5604313,-48.6000003915,-7.3999990853,0.0,96.24013,1.0,1.0,1
0,56,1,2022,1.0,48.6000003589,5.91999946941,-17.9393923316,6.74526954447,-9.99999090909e-09,130.523252872,-18818.0356862,18829.229809,-48.6000003589,-5.91999946941,0.156866742,71.53217,1.0,1.0,1
0,57,1,2022,1.0,48.6000003334,4.43999975661,-13.454544717,24.9122958228,-9.99999090909e-09,141.981003968,-18830.9915155,18819.5337644,-48.6000003334,-4.43999975661,0.579355721,59.58517,1.0,1.0,1
0,58,1,2022,1.0,48.6000003129,2.9600000981,-8.96969726696,36.2797976942,-9.99999090909e-09,169.291104385,-18812.2558875,18784.9457871,-48.6000003129,-2.9600000981,0.843716227,52.50901,1.0,1.0,1
0,59,1,2022,1.0,48.6000003048,1.48000073734,-4.48485071922,34.9173673193,-9.99999090909e-09,199.723620975,-18794.6530691,18764.2205525,-48.6000003048,-1.48000073734,0.8120318,50.18051,1.0,1.0,1
0,60,1,2022,1.0,48.6000003012,1.4000005986,-4.24242605635,33.5427375432,-9.99999090909e-09,229.023932452,-18784.1147868,18754.8144754,-48.6000003012,-1.4000005986,0.780063666,49.1969,1.0,1.0,1
0,61,1,2022,1.0,48.6000002969,1.48000169931,-4.48485363427,7.8095118996,-9.99999090909e-09,232.348590707,-18835.3244482,18831.99979,-48.6000002969,-1.48000169931,0.181616564,48.0725,1.0,1.0,1
0,62,1,2022,1.0,48.6000003044,2.96000114304,-8.96970043345,10.9332723865,-9.99999090909e-09,234.31216265,-18831.6447078,18829.6811359,-48.6000003044,-2.96000114304,0.254262156,50.0595,1.0,1.0,1
0,63,1,2022,1.0,48.6000003307,4.44000085285,-13.4545480389,0.880172942912,-9.99999090909e-09,221.737787544,-18839.3188246,18851.8931997,-48.6000003307,-4.44000085285,0.020469148,58.54354,1.0,1.0,1
0,64,1,2022,1.0,48.6000003818,5.92000060914,-17.9393957853,0.0860876426197,-9.99999090909e-09,203.884479392,-18836.1935938,18854.046902,-48.6000003818,-5.92000060914,0.002002048,87.2693,1.0,1.0,1
0,65,1,2022,1.0,48.6000004078,7.3999998509,-22.4242419724,0.0,-9.99999090909e-09,181.460237409,-18833.5099431,18855.9341851,-48.6000004078,-7.3999998509,0.0,116.32134,1.0,1.0,1
0,66,1,2022,1.0,48.6000003988,7.3999998493,-22.4242419676,0.0,-9.99999090909e-09,159.035995432,-18833.0884775,18855.5127194,-48.6000003988,-7.3999998493,0.0,104.23151,1.0,1.0,1
0,67,1,2022,1.0,48.6000003903,7.39999978327,-22.4242417675,0.0,-9.99999090909e-09,136.611753654,-18832.8719411,18855.2961829,-48.6000003903,-7.39999978327,0.0,94.99916,1.0,1.0,1
0,68,1,2022,1.0,48.6000003805,7.39999966967,-22.4242414233,0.0,-9.99999090909e-09,114.187512221,-18832.6675918,18855.0918332,-48.6000003805,-7.39999966967,0.0,86.17352,1.0,1.0,1
0,69,1,2022,1.0,48.6000003658,7.32093338828,-22.1846466311,0.0,-9.99999090909e-09,92.0028655799,-18832.59742,18854.7820667,-48.6000003658,-7.32093338828,0.0,75.63568,1.0,1.0,1
0,70,1,2022,1.0,48.6000003611,5.84093413006,-17.6998003941,0.0,-9.99999090909e-09,74.3030651757,-18834.6920966,18852.391897,-48.6000003611,-5.84093413006,0.0,72.81057,1.0,1.0,1
