RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,prefix,ProbabilityWeight,PointProbability
0,42,1,2022,1.0,48.6000003803,7.39999769484,-22.4242354389,0.0,-9.99999090909e-09,429.599501208,-25410.9970064,25433.4212418,-48.6000003803,-7.39999769484,0.0,85.9904,1,1.0,1.0
0,43,1,2022,1.0,48.6000003786,7.39999960713,-22.4242412337,0.0,-9.99999090909e-09,407.175259964,-25411.1588953,25433.5831365,-48.6000003786,-7.39999960713,0.0,84.67528,1,1.0,1.0
0,44,1,2022,1.0,48.6000003737,7.39999949448,-22.4242408924,0.0,-9.99999090909e-09,384.751019062,-25411.2844126,25433.7086535,-48.6000003737,-7.39999949448,0.0,80.94031,1,1.0,1.0
0,45,1,2022,1.0,48.6000003638,7.39999907429,-22.424239619,0.0,-9.99999090909e-09,362.326779433,-25411.4004854,25433.824725,-48.6000003638,-7.39999907429,0.0,74.39512,1,1.0,1.0
0,46,1,2022,1.0,48.6000003543,7.39999765922,-22.424235331,0.0,-9.99999090909e-09,339.902544092,-25411.5154823,25433.9397177,-48.6000003543,-7.39999765922,0.0,69.03863,1,1.0,1.0
0,47,1,2022,1.0,48.6000003493,7.39894829317,-22.4210554338,0.0,-9.99999090909e-09,317.481488648,-25411.6280103,25434.0490658,-48.6000003493,-7.39894829317,0.0,66.49562,1,1.0,1.0
0,48,1,2022,1.0,48.6000003459,7.39675029993,-22.4143948483,0.0,-9.99999090909e-09,295.06709379,-25411.7383133,25434.1527082,-48.6000003459,-7.39675029993,0.0,64.8736,1,1.0,1.0
0,49,1,2022,1.0,48.6000003443,7.39441510768,-22.4073185081,0.0,-9.99999090909e-09,272.659775272,-25411.8343295,25434.241648,-48.6000003443,-7.39441510768,0.0,64.17055,1,1.0,1.0
0,50,1,2022,1.0,48.6000003435,7.38955196141,-22.3925817013,0.0,-9.99999090909e-09,250.26719356,-25411.8879567,25434.2805384,-48.6000003435,-7.38955196141,0.0,63.81596,1,1.0,1.0
0,51,1,2022,1.0,48.6000003423,6.03319803524,-18.2824182886,0.0,-9.99999090909e-09,231.984775262,-25413.9423269,25432.2247452,-48.6000003423,-6.03319803524,0.0,63.26414,1,1.0,1.0
0,52,1,2022,1.0,48.6000003468,7.39854069456,-22.4198202865,0.0,-9.99999090909e-09,209.564954965,-25411.9234902,25434.3433105,-48.6000003468,-7.39854069456,0.0,65.29651,1,1.0,1.0
0,53,1,2022,1.0,48.6000003662,7.39999932648,-22.4242403833,0.0,-9.99999090909e-09,187.140714572,-25411.9184925,25434.3427329,-48.6000003662,-7.39999932648,0.0,75.91069,1,1.0,1.0
0,54,1,2022,1.0,48.6000003955,7.39999982749,-22.4242419015,0.0,-9.99999090909e-09,164.716472661,-25411.9399631,25434.364205,-48.6000003955,-7.39999982749,0.0,100.42028,1,1.0,1.0
0,55,1,2022,1.0,48.6000003915,7.39999954057,-22.424241032,0.0,-9.99999090909e-09,142.292231619,-25411.969573,25434.393814,-48.6000003915,-7.39999954057,0.0,96.24013,1,1.0,1.0
0,56,1,2022,1.0,48.6000003589,5.92000009513,-17.9393942277,7.52960325343,-9.99999090909e-09,131.882440634,-25415.161259,25425.57105,-48.6000003589,-5.92000009513,0.156866742,71.53217,1,1.0,1.0
0,57,1,2022,1.0,48.6000003334,4.44000045007,-13.4545468184,27.809074446,-9.99999090909e-09,146.236968252,-25423.1077212,25408.7531936,-48.6000003334,-4.44000045007,0.579355721,59.58517,1,1.0,1.0
