RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,ProbabilityWeight,prefix,PointProbability
0,57,1,2022,1.0,48.6000003334,4.44000044501,-13.4545468031,26.0710072657,-9.99999090909e-09,140.324383826,-100006.278135,99993.661674,-48.6000003334,-4.44000044501,0.579355721,59.58517,1.0,1,1.0
0,58,1,2022,1.0,48.6000003129,2.96000085102,-8.96969954856,37.9672301525,-9.99999090909e-09,169.32191442,-100014.366074,99985.3685438,-48.6000003129,-2.96000085102,0.843716227,52.50901,1.0,1,1.0
0,59,1,2022,1.0,48.6000003048,1.48000160602,-4.48485335156,36.541430921,-9.99999090909e-09,201.378491979,-100015.872782,99983.8162045,-48.6000003048,-1.48000160602,0.8120318,50.18051,1.0,1,1.0
0,60,1,2022,1.0,48.6000003012,1.40000071233,-4.24242640102,35.1028648744,-9.99999090909e-09,232.238930443,-100015.280214,99984.4197758,-48.6000003012,-1.40000071233,0.780063666,49.1969,1.0,1,1.0
0,61,1,2022,1.0,48.6000002969,1.48011633635,-4.48520101923,8.17274501221,-9.99999090909e-09,235.926474426,-100001.840933,99998.1533887,-48.6000002969,-1.48011633635,0.181616564,48.0725,1.0,1,1.0
0,62,1,2022,1.0,48.6000003044,2.96011565076,-8.97004742654,11.4417966838,-9.99999090909e-09,238.398223673,-100001.233945,99998.762196,-48.6000003044,-2.96011565076,0.254262156,50.0595,1.0,1,1.0
0,63,1,2022,1.0,48.6000003307,4.44011528451,-13.4548948015,0.921111219461,-9.99999090909e-09,225.864440081,-99993.7168252,100006.250609,-48.6000003307,-4.44011528451,0.020469148,58.54354,1.0,1,1.0
0,64,1,2022,1.0,48.6000003818,5.92011495314,-17.9397422823,0.0900917207321,-9.99999090909e-09,208.014789509,-99991.0400424,100008.889693,-48.6000003818,-5.92011495314,0.002002048,87.2693,1.0,1,1.0
0,65,1,2022,1.0,48.6000004078,7.39999990713,-22.4242421428,0.0,-9.99999090909e-09,185.590547356,-99988.7308853,100011.155127,-48.6000004078,-7.39999990713,0.0,116.32134,1.0,1,1.0
0,66,1,2022,1.0,48.6000003988,7.39999985839,-22.4242419951,0.0,-9.99999090909e-09,163.166305351,-99988.7310412,100011.155283,-48.6000003988,-7.39999985839,0.0,104.23151,1.0,1,1.0
0,67,1,2022,1.0,48.6000003903,7.39999979511,-22.4242418034,0.0,-9.99999090909e-09,140.742063538,-99988.7311048,100011.155347,-48.6000003903,-7.39999979511,0.0,94.99916,1.0,1,1.0
0,68,1,2022,1.0,48.6000003805,7.39999968637,-22.4242414739,0.0,-9.99999090909e-09,118.317822054,-99972.1464449,99994.5706864,-48.6000003805,-7.39999968637,0.0,86.17352,1.0,1,1.0
0,69,1,2022,1.0,48.6000003658,7.32146739757,-22.1862648411,0.0,-9.99999090909e-09,96.1315572029,-99988.8553524,100011.041617,-48.6000003658,-7.32146739757,0.0,75.63568,1.0,1,1.0
0,70,1,2022,1.0,48.6000003611,5.84146811435,-17.7014185283,0.0,-9.99999090909e-09,78.4301386646,-99991.1159935,100008.817412,-48.6000003611,-5.84146811435,0.0,72.81057,1.0,1,1.0
0,71,1,2022,1.0,48.6000003471,4.36146851694,-13.2165712635,0.0,-9.99999090909e-09,65.2135673911,-99993.3733706,100006.589942,-48.6000003471,-4.36146851694,0.0,65.46867,1.0,1,1.0
