RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,PointProbability,prefix,ProbabilityWeight
0,33,1,2022,1.0,48.6000002453,1.40000031463,-4.24242519584,32.7929091069,-9.99999090909e-09,260.036844317,-70369.2318774,70340.6813935,-48.6000002453,-1.40000031463,0.81982273,37.76998,1.0,1,1.0
0,34,1,2022,1.0,48.6000001918,1.40000024886,-4.24242499654,33.2424423517,-9.99999090909e-09,289.036861662,-70370.252249,70341.2522316,-48.6000001918,-1.40000024886,0.831061061,30.89922,1.0,1,1.0
0,35,1,2022,1.0,48.6000001394,1.40000021726,-4.2424249008,32.0293884199,-9.99999090909e-09,316.823825171,-70368.6412456,70340.854282,-48.6000001394,-1.40000021726,0.800734713,26.22508,1.0,1,1.0
0,36,1,2022,1.0,48.6000001175,1.4000002082,-4.24242487332,30.7435718474,-9.99999090909e-09,343.324972135,-70366.7337265,70340.2325796,-48.6000001175,-1.4000002082,0.768589299,24.67197,1.0,1,1.0
0,37,1,2022,1.0,48.6000001279,1.40000021184,-4.24242488437,31.2842748531,-9.99999090909e-09,370.366822094,-70366.9487174,70339.9068674,-48.6000001279,-1.40000021184,0.782106874,25.38616,1.0,1,1.0
0,38,1,2022,1.0,48.6000001772,1.40376634393,-4.25383740585,32.2476409431,-9.99999090909e-09,398.360625621,-70369.3617106,70341.367907,-48.6000001772,-1.40376634393,0.806191026,29.43688,1.0,1,1.0
0,39,1,2022,1.0,48.6000003073,2.88376610776,-8.73868517502,30.6357480873,-9.99999090909e-09,420.257688524,-70365.0977711,70343.2007082,-48.6000003073,-2.88376610776,0.765893705,50.86402,1.0,1,1.0
0,40,1,2022,1.0,48.6000003635,4.36376594461,-13.2235331655,22.8633895301,-9.99999090909e-09,429.897544878,-70354.9639387,70345.3240823,-48.6000003635,-4.36376594461,0.571584743,74.19474,1.0,1,1.0
0,41,1,2022,1.0,48.6000003834,5.8437657465,-17.70838105,0.0,-9.99999090909e-09,412.189163818,-70345.1244706,70362.8328516,-48.6000003834,-5.8437657465,0.0,88.59984,1.0,1,1.0
0,42,1,2022,1.0,48.6000003803,7.32376530663,-22.1932282019,0.0,-9.99999090909e-09,389.995935606,-70343.6420019,70365.8352301,-48.6000003803,-7.32376530663,0.0,85.9904,1.0,1,1.0
0,43,1,2022,1.0,48.6000003786,7.39999958354,-22.4242411622,0.0,-9.99999090909e-09,367.571694434,-70343.4993773,70365.9236185,-48.6000003786,-7.39999958354,0.0,84.67528,1.0,1,1.0
0,44,1,2022,1.0,48.6000003737,7.39999945503,-22.4242407728,0.0,-9.99999090909e-09,345.147453651,-70343.478815,70365.9030558,-48.6000003737,-7.39999945503,0.0,80.94031,1.0,1,1.0
0,45,1,2022,1.0,48.6000003638,7.39999894771,-22.4242392355,0.0,-9.99999090909e-09,322.723214406,-70343.5073541,70365.9315933,-48.6000003638,-7.39999894771,0.0,74.39512,1.0,1,1.0
0,46,1,2022,1.0,48.6000003543,7.38566108933,-22.3807911798,0.0,-9.99999090909e-09,300.342423216,-70343.4760472,70365.8568384,-48.6000003543,-7.38566108933,0.0,69.03863,1.0,1,1.0
0,47,1,2022,1.0,48.6000003493,5.905665308,-17.8959554788,0.0,-9.99999090909e-09,282.446467727,-70344.9334294,70362.8293849,-48.6000003493,-5.905665308,0.0,66.49562,1.0,1,1.0
0,48,1,2022,1.0,48.6000003459,4.42567009483,-13.4111214995,0.0,-9.99999090909e-09,269.035346218,-70346.3718098,70359.7829313,-48.6000003459,-4.42567009483,0.0,64.8736,1.0,1,1.0
0,49,1,2022,1.0,48.6000003443,2.94567008003,-8.92627296978,0.0,-9.99999090909e-09,260.109073238,-70347.788954,70356.715227,-48.6000003443,-2.94567008003,0.0,64.17055,1.0,1,1.0
0,50,1,2022,1.0,48.6000003435,2.96000701772,-8.96971823552,0.0,-9.99999090909e-09,251.139354992,-70347.8405408,70356.810259,-48.6000003435,-2.96000701772,0.0,63.81596,1.0,1,1.0
0,51,1,2022,1.0,48.6000003423,4.44000232914,-13.4545525125,0.0,-9.99999090909e-09,237.68480247,-70346.418053,70359.8726055,-48.6000003423,-4.44000232914,0.0,63.26414,1.0,1,1.0
0,52,1,2022,1.0,48.6000003468,5.92000025391,-17.9393947088,0.0,-9.99999090909e-09,219.745407751,-70344.9816029,70362.9209976,-48.6000003468,-5.92000025391,0.0,65.29651,1.0,1,1.0
0,53,1,2022,1.0,48.6000003662,7.39999837031,-22.4242374858,0.0,-9.99999090909e-09,197.321170255,-70343.5290713,70365.9533088,-48.6000003662,-7.39999837031,0.0,75.91069,1.0,1,1.0
0,54,1,2022,1.0,48.6000003955,7.39999981107,-22.4242418517,0.0,-9.99999090909e-09,174.896928393,-70343.5365835,70365.9608253,-48.6000003955,-7.39999981107,0.0,100.42028,1.0,1,1.0
